event_id,expected_attendance,p10,p90
ft_evt_0040,99,95,104
ft_evt_0058,90,80,101
ft_evt_0014,73,67,80
ft_evt_0032,156,150,162
ft_evt_0023,167,162,172
ft_evt_0056,355,349,362
ft_evt_0006,51,43,58
ft_evt_0052,318,308,329
ft_evt_0060,242,225,259
ft_evt_0041,77,73,81
ft_evt_0015,72,66,79
ft_evt_0033,76,72,79
ft_evt_0024,67,64,71
ft_evt_0007,32,26,38
ft_evt_0042,57,53,61
ft_evt_0016,48,42,54
ft_evt_0048,165,158,171
ft_evt_0062,103,92,114
ft_evt_0034,47,44,51
ft_evt_0050,395,388,402
ft_evt_0025,89,86,93
ft_evt_0008,55,53,57
ft_evt_0046,328,318,337
ft_evt_0043,26,20,31
ft_evt_0017,32,28,36
ft_evt_0054,105,94,117
ft_evt_0035,55,52,59
ft_evt_0026,55,52,58
ft_evt_0009,35,33,36
ft_evt_0044,49,46,51
